address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
경기 고양시 일산동구 식사동 861-15,FD6,음식점,음식점 > 한식,,27327500,031-969-9199,동무밥상,http://place.map.kakao.com/27327500,경기 고양시 일산동구 고양대로 1032,126.80704394741677,37.672083876060356
서울 중구 필동3가 1-5,FD6,음식점,음식점 > 한식 > 냉면,,11231325,02-2266-2611,필동면옥,http://place.map.kakao.com/11231325,서울 중구 서애로 26,126.99693958989,37.5603983847784
서울 마포구 염리동 147-6,FD6,음식점,음식점 > 한식 > 냉면,,25048467,02-717-1922,을밀대 본점,http://place.map.kakao.com/25048467,서울 마포구 숭문길 24,126.945528667601,37.5474871749408
서울 송파구 방이동 180-7,FD6,음식점,"음식점 > 한식 > 육류,고기",,275788090,02-415-7277,한아람,http://place.map.kakao.com/275788090,서울 송파구 위례성대로 34,127.116018147064,37.5157707627353
서울 송파구 방이동 205,FD6,음식점,음식점 > 한식 > 냉면,,8364935,02-415-5527,봉피양 방이점 본관,http://place.map.kakao.com/8364935,서울 송파구 양재대로71길 5,127.12599896562895,37.510207652434715
서울 영등포구 여의도동 13-1,FD6,음식점,음식점 > 한식 > 냉면,,23699720,02-2683-2615,정인면옥 본점,http://place.map.kakao.com/23699720,서울 영등포구 국회대로76길 10,126.92157407940762,37.53077816623998
서울 강남구 삼성동 151-7,FD6,음식점,음식점 > 한식 > 냉면,,27261403,02-569-8939,능라도 강남점,http://place.map.kakao.com/27261403,서울 강남구 삼성로 534,127.05553416938561,37.509677046854954
서울 중구 저동2가 18-1,FD6,음식점,음식점 > 한식 > 냉면,,12106466,02-2267-5892,평래옥,http://place.map.kakao.com/12106466,서울 중구 마른내로 21-1,126.99036546529,37.564910222013
서울 서대문구 연희동 193-13,FD6,음식점,음식점 > 한식 > 냉면,,10161291,02-392-7461,평택고여사집냉면,http://place.map.kakao.com/10161291,서울 서대문구 연희로 81-9,126.929256985769,37.5656750889717
경기 수원시 장안구 조원동 53-1,FD6,음식점,"음식점 > 한식 > 육류,고기 > 갈비",,1248099535,031-255-8040,육미옥 조원점,http://place.map.kakao.com/1248099535,경기 수원시 장안구 수일로 221,127.014754219752,37.3069380263724
서울 강남구 역삼동 826-37,FD6,음식점,음식점 > 한식 > 냉면,,12418029,02-552-1922,을밀대 강남점,http://place.map.kakao.com/12418029,서울 강남구 테헤란로4길 46,127.030740331534,37.4952411777316
서울 강남구 신사동 645-30,FD6,음식점,음식점 > 한식 > 냉면,,8177726,02-3445-0092,강서면옥 압구정점,http://place.map.kakao.com/8177726,서울 강남구 언주로164길 19,127.03512404303498,37.525564162874
경기 양주시 장흥면 교현리 114-23,FD6,음식점,음식점 > 한식,,1840305039,031-877-3917,만포면옥 본점,http://place.map.kakao.com/1840305039,경기 양주시 장흥면 호국로 515,126.971498960166,37.7171726571246
서울 종로구 행촌동 1-64,FD6,음식점,음식점 > 한식,,18080093,02-747-9907,능라밥상,http://place.map.kakao.com/18080093,서울 종로구 사직로2길 14,126.96400246153803,37.57292939351623
경기 안양시 동안구 비산동 1015-3,FD6,음식점,음식점 > 한식 > 냉면,,10459955,031-383-5191,봉가진면옥,http://place.map.kakao.com/10459955,경기 안양시 동안구 평촌대로427번길 27,126.948941239786,37.4084521374866
서울 중구 남창동 47-10,FD6,음식점,음식점 > 한식 > 냉면,,7914330,02-753-7728,부원면옥,http://place.map.kakao.com/7914330,서울 중구 남대문시장4길 41-6,126.977604365846,37.5584213149079
서울 강남구 논현동 115-10,FD6,음식점,음식점 > 한식 > 냉면,,27584230,02-515-3469,진미평양냉면,http://place.map.kakao.com/27584230,서울 강남구 학동로 305-3,127.036047158128,37.5161357904841
서울 강서구 화곡동 1103,FD6,음식점,음식점 > 한식 > 냉면,,26779187,02-2690-7288,평양냉면대동관 강서점,http://place.map.kakao.com/26779187,서울 강서구 우장산로 120,126.84932803770114,37.55309340985893
인천 서구 청라동 133-13,FD6,음식점,음식점 > 한식 > 국수,,1249155985,032-576-3939,강선생의냉면막국수,http://place.map.kakao.com/1249155985,인천 서구 담지로86번길 5-41,126.66222101002576,37.537898542362655
서울 강남구 논현동 66-2,FD6,음식점,음식점 > 한식 > 냉면,,8130016,02-549-5378,평양면옥,http://place.map.kakao.com/8130016,서울 강남구 논현로150길 6,127.029148302031,37.5189524291083
서울 서초구 잠원동 29-23,FD6,음식점,음식점 > 한식 > 냉면,,10886792,02-547-6947,의정부평양면옥,http://place.map.kakao.com/10886792,서울 서초구 강남대로93길 28,127.01893900013093,37.51296103094697
경기 남양주시 진접읍 부평리 602-1,FD6,음식점,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",,21555703,031-574-6630,광릉한옥집,http://place.map.kakao.com/21555703,경기 남양주시 진접읍 광릉내로 36,127.19930094194743,37.74306098571575
서울 양천구 신정2동 294-12,FD6,음식점,음식점 > 한식 > 냉면,,12711142,02-2644-0721,평미가,http://place.map.kakao.com/12711142,서울 양천구 목동동로10길 16,126.871533914356,37.5189618461368
경기 성남시 분당구 운중동 883-3,FD6,음식점,음식점 > 한식 > 냉면,,14747791,031-781-3989,능라도 본점,http://place.map.kakao.com/14747791,경기 성남시 분당구 산운로32번길 12,127.065181344398,37.3917474696144
경북 구미시 진평동 62-2,FD6,음식점,"음식점 > 한식 > 육류,고기 > 갈비",,26326751,054-472-0090,안박사면옥 인동본점,http://place.map.kakao.com/26326751,경북 구미시 인동남길 136,128.429592523118,36.0954199317363
서울 영등포구 여의도동 50,FD6,음식점,음식점 > 한식 > 냉면,,10925094,,한주면옥,http://place.map.kakao.com/10925094,서울 영등포구 63로 45,126.939683675789,37.5210561798174
서울 강남구 삼성동 8-1,FD6,음식점,음식점 > 한식,,26794399,02-546-2305,봉밀가,http://place.map.kakao.com/26794399,서울 강남구 선릉로 664,127.04208160106053,37.515803126376866
서울 중구 주교동 118-1,FD6,음식점,음식점 > 한식 > 냉면,,8025375,02-2265-0151,우래옥 본점,http://place.map.kakao.com/8025375,서울 중구 창경궁로 62-29,126.99871865898974,37.56821185731751
서울 중구 장충동1가 13,FD6,음식점,음식점 > 한식 > 냉면,,13093208,02-2267-7784,평양면옥 본점,http://place.map.kakao.com/13093208,서울 중구 장충단로 207,127.00669603395768,37.56324808702588
서울 은평구 갈현동 463-1,FD6,음식점,음식점 > 한식,,16852004,02-389-3917,백년가게 만포면옥 본점,http://place.map.kakao.com/16852004,서울 은평구 연서로 171,126.9174907433,37.6141228091598
경기 의정부시 의정부동 385,FD6,음식점,음식점 > 한식 > 냉면,,10883976,031-877-2282,평양면옥 의정부본점,http://place.map.kakao.com/10883976,경기 의정부시 평화로439번길 7,127.04751996690172,37.73092166124022
경기 구리시 아천동 316-47,,,"여행 > 관광,명소",,11427305,031-550-2363,고구려대장간마을,http://place.map.kakao.com/11427305,경기 구리시 우미내길 41,127.111057789347,37.5605552233289
서울 구로구 오류동 13-55,FD6,음식점,음식점 > 한식 > 냉면,,25049372,02-2614-2263,평양냉면,http://place.map.kakao.com/25049372,서울 구로구 고척로10길 65,126.8422023938924,37.496388585633234
서울 영등포구 여의도동 13-1,FD6,음식점,음식점 > 한식 > 냉면,,23699720,02-2683-2615,정인면옥 본점,http://place.map.kakao.com/23699720,서울 영등포구 국회대로76길 10,126.92157407940762,37.53077816623998
서울 광진구 구의동 80-47,FD6,음식점,음식점 > 한식 > 냉면,,7939102,02-457-8319,서북면옥,http://place.map.kakao.com/7939102,서울 광진구 자양로 199-1,127.08534387836,37.5453966002957
서울 중구 다동 121-4,FD6,음식점,음식점 > 한식 > 냉면,,21232315,02-777-3131,남포면옥,http://place.map.kakao.com/21232315,서울 중구 을지로3길 24,126.981753597164,37.5671652991647
서울 종로구 낙원동 221,FD6,음식점,음식점 > 한식 > 냉면,,8041476,,유진식당,http://place.map.kakao.com/8041476,서울 종로구 종로17길 40,126.9883179183545,37.57204231870933
